調査年,標準地域コード,町丁字コード,都道府県名,市区町村名,行政区名,大字・町名,字・丁目名,最小年齢,最大年齢,人口,男性人口,女性人口,備考
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",0,0,631,316,315,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",1,1,655,348,307,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",2,2,670,319,351,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",3,3,685,346,339,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",4,4,703,357,346,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",5,5,703,368,335,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",6,6,710,363,347,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",7,7,731,372,359,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",8,8,727,357,370,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",9,9,733,370,363,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",10,10,772,390,382,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",11,11,752,389,363,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",12,12,673,379,294,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",13,13,687,339,348,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",14,14,711,349,362,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",15,15,722,380,342,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",16,16,748,389,359,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",17,17,717,395,322,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",18,18,665,356,309,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",19,19,483,248,235,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",20,20,496,226,270,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",21,21,494,220,274,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",22,22,565,281,284,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",23,23,605,279,326,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",24,24,608,286,322,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",25,25,664,312,352,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",26,26,707,358,349,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",27,27,716,353,363,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",28,28,777,385,392,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",29,29,739,353,386,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",30,30,821,376,445,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",31,31,842,429,413,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",32,32,908,469,439,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",33,33,946,469,477,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",34,34,970,468,502,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",35,35,1036,520,516,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",36,36,1095,560,535,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",37,37,1084,569,515,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",38,38,1084,544,540,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",39,39,1004,530,474,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",40,40,971,480,491,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",41,41,886,449,437,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",42,42,915,476,439,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",43,43,926,450,476,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",44,44,593,286,307,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",45,45,861,424,437,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",46,46,800,412,388,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",47,47,805,385,420,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",48,48,794,383,411,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",49,49,778,388,390,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",50,50,758,375,383,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",51,51,816,401,415,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",52,52,738,336,402,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",53,53,721,366,355,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",54,54,778,389,389,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",55,55,891,414,477,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",56,56,769,401,368,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",57,57,859,395,464,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",58,58,865,413,452,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",59,59,1037,501,536,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",60,60,1113,532,581,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",61,61,1280,611,669,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",62,62,1298,626,672,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",63,63,1073,525,548,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",64,64,609,301,308,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",65,65,673,342,331,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",66,66,854,437,417,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",67,67,922,478,444,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",68,68,889,449,440,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",69,69,788,384,404,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",70,70,736,345,391,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",71,71,649,302,347,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",72,72,673,300,373,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",73,73,660,316,344,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",74,74,752,335,417,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",75,75,632,257,375,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",76,76,621,272,349,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",77,77,617,300,317,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",78,78,557,236,321,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",79,79,588,268,320,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",80,80,492,212,280,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",81,81,530,225,305,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",82,82,473,199,274,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",83,83,490,184,306,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",84,84,422,172,250,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",85,85,381,112,269,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",86,86,337,110,227,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",87,87,243,63,180,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",88,88,228,55,173,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",89,89,220,58,162,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",90,"",944,186,758,""
2010,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","","","",106,74,32,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",0,0,701,372,329,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",1,1,632,320,312,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",2,2,669,351,318,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",3,3,677,319,358,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",4,4,694,358,336,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",5,5,711,361,350,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",6,6,699,371,328,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",7,7,712,364,348,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",8,8,734,373,361,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",9,9,731,357,374,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",10,10,734,371,363,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",11,11,770,389,381,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",12,12,755,391,364,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",13,13,674,377,297,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",14,14,686,340,346,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",15,15,726,359,367,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",16,16,727,385,342,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",17,17,752,389,363,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",18,18,695,382,313,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",19,19,650,336,314,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",20,20,498,248,250,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",21,21,485,223,262,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",22,22,481,221,260,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",23,23,560,278,282,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",24,24,582,268,314,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",25,25,602,286,316,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",26,26,676,311,365,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",27,27,705,366,339,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",28,28,740,370,370,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",29,29,764,383,381,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",30,30,753,371,382,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",31,31,836,384,452,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",32,32,846,438,408,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",33,33,908,474,434,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",34,34,948,472,476,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",35,35,973,471,502,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",36,36,1047,526,521,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",37,37,1093,554,539,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",38,38,1089,569,520,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",39,39,1085,545,540,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",40,40,1000,527,473,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",41,41,983,489,494,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",42,42,897,451,446,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",43,43,908,475,433,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",44,44,916,444,472,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",45,45,592,285,307,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",46,46,862,422,440,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",47,47,798,404,394,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",48,48,808,386,422,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",49,49,792,379,413,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",50,50,776,385,391,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",51,51,749,370,379,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",52,52,809,397,412,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",53,53,744,342,402,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",54,54,724,368,356,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",55,55,778,390,388,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",56,56,893,418,475,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",57,57,762,394,368,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",58,58,857,390,467,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",59,59,863,410,453,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",60,60,1039,500,539,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",61,61,1112,531,581,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",62,62,1275,603,672,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",63,63,1283,615,668,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",64,64,1069,523,546,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",65,65,601,296,305,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",66,66,670,341,329,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",67,67,847,432,415,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",68,68,916,474,442,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",69,69,877,440,437,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",70,70,781,379,402,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",71,71,728,336,392,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",72,72,637,291,346,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",73,73,668,294,374,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",74,74,643,302,341,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",75,75,742,327,415,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",76,76,621,252,369,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",77,77,609,262,347,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",78,78,598,287,311,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",79,79,546,229,317,""
2011,http://statdb.nstac.go.jp/lod/sac/Chttp://statdb.nstac.go.jp/lod/sac/C18207,"",福井県,鯖江市,"","","",80,80,566,256,310,""
