sabae_ellection,kubun,polling_station,man_voters,female_voters,total_voters,man_voted,female_voted,total_voted,man_votedrate,female_votedrate,votedrate
88,20190721参議院選挙区,10,1812,1925,3737,632,624,1256,34.88,32.42,33.61
89,20190721参議院選挙区,11,752,791,1543,303,269,572,40.29,34.01,37.07
90,20190721参議院選挙区,12,2396,2488,4884,674,668,1342,28.13,26.85,27.48
91,20190721参議院選挙区,13,2727,2877,5604,743,733,1476,27.25,25.48,26.34
92,20190721参議院選挙区,14,1807,1901,3708,529,520,1049,29.28,27.35,28.29
93,20190721参議院選挙区,15,1138,1269,2407,418,421,839,36.73,33.18,34.86
94,20190721参議院選挙区,16,1760,1800,3560,638,548,1186,36.25,30.44,33.31
95,20190721参議院選挙区,17,919,941,1860,289,281,570,31.45,29.86,30.65
96,20190721参議院選挙区,期日前,,,,3461,3542,7003,,,
97,20190721参議院選挙区,在外,5,4,9,0,0,0,0,0,0
98,20190721参議院選挙区,合計,27208,29032,56240,11972,11800,23772,44,40.64,42.27
99,20190630市議会議員選挙,1,1248,1316,2564,517,541,1058,41.42628205128205,41.109422492401215,41.26365054602184
100,20190630市議会議員選挙,2,1842,2010,3852,742,792,1534,40.28230184581976,39.40298507462687,39.823468328141225
101,20190630市議会議員選挙,3,800,932,1732,331,366,697,41.375,39.27038626609442,40.24249422632795
102,20190630市議会議員選挙,4,1222,1309,2531,445,484,929,36.41571194762684,36.97478991596639,36.704859739233505
103,20190630市議会議員選挙,5,2052,2156,4208,755,794,1549,36.79337231968811,36.82745825602968,36.81083650190114
104,20190630市議会議員選挙,6,2650,2857,5507,996,1079,2075,37.58490566037736,37.76688834441722,37.67931723261304
105,20190630市議会議員選挙,7,1472,1527,2999,528,545,1073,35.869565217391305,35.69089718402096,35.77859286428809
106,20190630市議会議員選挙,8,1258,1423,2681,471,503,974,37.44038155802862,35.34785664089951,36.329727713539725
107,20190630市議会議員選挙,9,1181,1375,2556,332,353,685,28.111769686706182,25.672727272727276,26.799687010954614
108,20190630市議会議員選挙,10,1795,1910,3705,874,910,1784,48.6908077994429,47.64397905759162,48.151147098515516
109,20190630市議会議員選挙,11,748,792,1540,309,322,631,41.31016042780749,40.65656565656566,40.97402597402598
110,20190630市議会議員選挙,12,2366,2473,4839,949,1033,1982,40.10989010989011,41.77112818439143,40.958875800785286
111,20190630市議会議員選挙,13,2703,2854,5557,1267,1295,2562,46.87384387717351,45.37491240364401,46.10401295663127
112,20190630市議会議員選挙,14,1801,1893,3694,816,867,1683,45.3081621321488,45.800316957210775,45.56036816459123
113,20190630市議会議員選挙,15,1130,1259,2389,620,687,1307,54.86725663716814,54.5671167593328,54.70908329845123
114,20190630市議会議員選挙,16,1753,1792,3545,912,903,1815,52.02509982886481,50.390625,51.198871650211565
115,20190630市議会議員選挙,17,913,936,1849,435,454,889,47.64512595837897,48.504273504273506,48.08004326663061
116,20190630市議会議員選挙,期日前,,,,2836,3520,6356,,,
117,20190630市議会議員選挙,計,26934,28814,55748,14135,15448,29583,52.48013663028143,53.6128270979385,53.06558082801177
